customer_id,loan_amount_ngn,tenure_months,interest_rate,age,gender,employment_status,monthly_income_ngn,residence_type,bureau_score,existing_loans_count,debt_to_income_ratio,mobile_phone_usage_days,savings_balance_ngn,loan_purpose,region,application_channel,default_target
CUST000001,65910,6,0.209,32,M,Employed,70692,Rented,167,0,0.032,46,58856,Consumer,South-West,Agent,0
CUST000002,30763,3,0.239,61,F,Self-employed,78414,Rented,202,1,0.031,135,4196,Business,North-Central,Online,0
CUST000003,79001,3,0.345,57,M,Self-employed,22153,Rented,85,0,0.41,356,9422,Business,South-West,Agent,1
CUST000004,225852,3,0.313,65,F,Employed,81742,Rented,689,1,0.288,377,4650,Emergency,South-South,Online,0
CUST000005,27419,12,0.228,29,F,Employed,33433,Owned,732,0,0.016,1620,783,Business,North-West,Branch,0
CUST000006,27420,3,0.276,42,M,Unemployed,10557,Rented,157,0,0.239,674,2447,Emergency,South-South,Agent,0
CUST000007,241604,6,0.249,44,F,Employed,59119,Rented,247,1,0.17,1185,5979,Emergency,North-Central,Online,0
CUST000008,91210,12,0.263,23,F,Employed,38155,Rented,87,0,0.052,664,9457,Education,North-West,Agent,0
CUST000009,20673,6,0.24,40,M,Employed,29839,Family,507,0,0.028,850,37533,Emergency,South-West,Online,0
CUST000010,69638,12,0.227,32,M,Unemployed,67495,Rented,177,0,0.02,357,5910,Emergency,South-West,Online,0
CUST000011,20824,12,0.295,56,F,Employed,103284,Owned,582,0,0.005,1060,3105,Business,South-West,Online,0
CUST000012,20767,6,0.312,22,M,Employed,32596,Rented,249,0,0.033,1667,44107,Business,North-Central,Agent,0
CUST000013,48550,12,0.329,40,M,Self-employed,153044,Owned,206,1,0.009,334,3620,Emergency,North-Central,Online,1
CUST000014,3655,12,0.206,32,F,Self-employed,21301,Owned,555,1,0.003,385,20269,Education,North-West,Online,0
CUST000015,4582,6,0.32,42,F,Self-employed,32548,Rented,186,1,0.008,58,2803,Emergency,North-Central,Online,0
CUST000016,18494,6,0.223,47,F,Employed,308278,Owned,559,0,0.002,1478,76421,Business,South-South,Online,0
CUST000017,10770,12,0.253,61,Other,Unemployed,25251,Owned,77,0,0.009,679,9122,Business,South-East,Agent,0
CUST000018,52949,24,0.333,60,M,Employed,58977,Rented,301,1,0.012,352,41842,Business,South-West,Agent,1
CUST000019,12214,12,0.257,21,F,Self-employed,25888,Rented,267,0,0.01,965,7501,Education,North-Central,Online,0
CUST000020,6669,3,0.214,30,F,Employed,294582,Family,277,1,0.002,751,5046,Business,North-Central,Agent,0
CUST000021,210823,12,0.207,67,F,Self-employed,23610,Owned,416,3,0.154,1760,5204,Business,South-West,Agent,0
CUST000022,27696,6,0.26,57,F,Employed,383535,Family,193,0,0.003,762,1534,Emergency,South-East,Online,0
CUST000023,39380,12,0.31,56,M,Employed,197209,Owned,277,0,0.005,1348,3249,Business,North-West,Agent,0
CUST000024,6570,12,0.35,40,M,Employed,94785,Rented,185,2,0.002,1360,9554,Education,South-West,Agent,0
CUST000025,18896,12,0.314,33,F,Employed,154776,Owned,362,3,0.003,928,2442,Education,South-West,Branch,0
CUST000026,41485,12,0.329,52,F,Self-employed,516441,Family,19,2,0.002,1122,9366,Business,South-East,Agent,0
